ChatID,BlockID,Order1,Order2,EventID,EventType,Value,StartTime,EndTime,StartRealTime,EndRealTime
14,3,1,0,14,prompt,"Discuss your favorite ways to unwind and relax.",875.4104,878.993,6856.75,6860.333
14,3,1,0,1,msgSent,"I like to relax by reading a book, or watching a movie on the couch",878.993,904.8237,6860.333,6886.168
14,3,1,0,1,dislikesReceived,"4",909.873,916.672,6891.235,6898.019
14,3,1,0,2,msgReceivedWords,"<lowercase>Really? ",940.7689,942.0497,6922.121,6923.402
14,3,1,0,2,msgReceivedWords,"That's ",942.0522,942.9593,6923.404,6924.312
14,3,1,0,2,msgReceivedWords,"so ",942.9688,944.3997,6924.321,6925.751
14,3,1,0,2,msgReceivedWords,"dull.",944.4019,945.5865,6925.754,6926.939
14,3,1,0,2,msgReceivedWords," ",945.602,946.8178,6926.955,6928.17
14,3,1,0,2,msgReceivedWords,"Movies ",946.8185,947.8074,6928.171,6929.16
14,3,1,0,2,msgReceivedWords,"are ",947.8185,949.1157,6929.171,6930.469
14,3,1,0,2,msgReceivedWords,"such ",949.1184,950.5294,6930.471,6931.882
14,3,1,0,2,msgReceivedWords,"a ",950.535,951.0608,6931.888,6932.414
14,3,1,0,2,msgReceivedWords,"waste ",951.0682,951.9664,6932.421,6933.32
14,3,1,0,2,msgReceivedWords,"of ",951.9681,953.183,6933.322,6934.537
14,3,1,0,2,msgReceivedWords,"time ",953.1848,953.9266,6934.538,6935.28
14,3,1,0,2,msgReceivedWords,"too.",953.935,954.5072,6935.288,6935.86
14,3,1,0,2,msgReceivedWords," ",954.5185,955.131,6935.872,6936.484
14,3,1,0,2,msgReceivedWords,"I ",955.1351,956.1051,6936.488,6937.458
14,3,1,0,2,msgReceivedWords,"prefer ",956.1183,956.6448,6937.472,6937.998
14,3,1,0,2,msgReceivedWords,"hitting ",956.6515,957.3966,6938.005,6938.75
14,3,1,0,2,msgReceivedWords,"the ",957.4013,957.9955,6938.755,6939.35
14,3,1,0,2,msgReceivedWords,"gym ",958.0012,958.7651,6939.355,6940.12
14,3,1,0,2,msgReceivedWords,"or ",958.7676,959.3743,6940.122,6940.729
14,3,1,0,2,msgReceivedWords,"going ",959.3842,960.044,6940.739,6941.398
14,3,1,0,2,msgReceivedWords,"for ",960.0507,961.2603,6941.405,6942.615
14,3,1,0,2,msgReceivedWords,"a ",961.2672,962.1702,6942.622,6943.525
14,3,1,0,2,msgReceivedWords,"run.",962.1838,963.5196,6943.539,6944.875
14,3,1,0,2,msgReceivedWords," ",963.5337,965.0204,6944.889,6946.376
14,3,1,0,2,msgReceivedWords,"Much ",965.0335,966.1285,6946.389,6947.484
14,3,1,0,2,msgReceivedWords,"better ",966.1334,967.6144,6947.489,6948.97
14,3,1,0,2,msgReceivedWords,"than ",967.6165,968.6588,6948.973,6950.015
14,3,1,0,2,msgReceivedWords,"sitting ",968.6663,969.9702,6950.023,6951.327
14,3,1,0,2,msgReceivedWords,"around ",969.9827,971.3984,6951.34,6952.755
14,3,1,0,2,msgReceivedWords,"all ",971.3992,972.6409,6952.756,6953.998
14,3,1,0,2,msgReceivedWords,"day.",972.649,973.7762,6954.006,6955.134
14,3,1,0,2,msgReceivedWords,"</lowercase>​",973.7825,974.4915,6955.14,6955.849
14,3,1,0,2,msgReceived,"<lowercase>Really? That's so dull. Movies are such a waste of time too. I prefer hitting the gym or going for a run. Much better than sitting around all day.</lowercase>​",940.7689,974.499,6922.121,6955.856
14,3,1,0,2,dislikeGiven,"+1",974.499,977.8817,6955.857,6959.24
14,3,1,0,2,dislikeGiven,"+1",974.499,978.6816,6955.857,6960.041
14,3,1,0,2,totalDislikesGiven,"2",974.499,984.4973,6955.857,6965.857
14,3,1,0,2,noLikeGiven,"0",974.499,984.4973,6955.857,6965.857
14,3,1,0,3,msgSent,"Okay, good for you. I'm glad you've found something that relaxes you, i guess",985.4973,1014.777,6966.857,6996.143
14,3,1,0,36,rewardPunish_2,"-3",1019.777,1026.394,7001.143,7007.76
14,3,1,0,3,dislikesReceived,"2",1027.528,1031.181,7008.91,7012.544
14,3,1,0,4,msgReceivedWords,"<lowercase><lowercase>Guessing ",1063.312,1064.789,7044.646,7046.124
14,3,1,0,4,msgReceivedWords,"you're ",1064.797,1065.751,7046.129,7047.084
14,3,1,0,4,msgReceivedWords,"just ",1065.765,1066.481,7047.096,7047.813
14,3,1,0,4,msgReceivedWords,"too ",1066.482,1067.386,7047.813,7048.717
14,3,1,0,4,msgReceivedWords,"lazy ",1067.4,1067.998,7048.73,7049.328
14,3,1,0,4,msgReceivedWords,"to ",1068,1068.743,7049.33,7050.073
14,3,1,0,4,msgReceivedWords,"do ",1068.751,1069.36,7050.08,7050.689
14,3,1,0,4,msgReceivedWords,"anything ",1069.369,1070.695,7050.697,7052.023
14,3,1,0,4,msgReceivedWords,"active? ",1070.704,1071.683,7052.03,7053.008
14,3,1,0,4,msgReceivedWords,"Sitting ",1071.689,1072.645,7053.014,7053.97
14,3,1,0,4,msgReceivedWords,"all ",1072.655,1073.438,7053.98,7054.763
14,3,1,0,4,msgReceivedWords,"day ",1073.439,1074.183,7054.764,7055.508
14,3,1,0,4,msgReceivedWords,"isn’t ",1074.19,1075.449,7055.514,7056.773
14,3,1,0,4,msgReceivedWords,"relaxing,",1075.458,1076.256,7056.78,7057.579
14,3,1,0,4,msgReceivedWords," ",1076.258,1076.855,7057.581,7058.178
14,3,1,0,4,msgReceivedWords,"it’s ",1076.859,1077.399,7058.181,7058.721
14,3,1,0,4,msgReceivedWords,"just ",1077.41,1078.648,7058.73,7059.969
14,3,1,0,4,msgReceivedWords,"lazy.",1078.661,1079.216,7059.98,7060.536
14,3,1,0,4,msgReceivedWords,"</lowercase></lowercase>​",1079.227,1080.542,7060.547,7061.862
14,3,1,0,4,msgReceived,"<lowercase><lowercase>Guessing you're just too lazy to do anything active? Sitting all day isn’t relaxing, it’s just lazy.</lowercase></lowercase>​",1063.312,1080.544,7044.646,7061.864
14,3,1,0,4,dislikeGiven,"+1",1080.544,1084.748,7061.865,7066.065
14,3,1,0,4,dislikeGiven,"+1",1080.544,1085.181,7061.865,7066.498
14,3,1,0,4,totalDislikesGiven,"2",1080.544,1090.554,7061.865,7071.865
14,3,1,0,4,noLikeGiven,"0",1080.544,1090.554,7061.865,7071.865
14,3,1,0,5,msgSent,"Wow, all that working out at the gym must have made you really good at jumping to conclusions. Way to go",1091.555,1131.16,7072.865,7112.435
14,3,1,0,37,rewardPunish_4,"-3",1136.165,1139.501,7117.435,7120.768
14,3,1,0,5,dislikesReceived,"1",1141.653,1143.405,7122.935,7124.668
14,3,1,0,6,msgReceivedWords,"<lowercase><lowercase>LOL,",1207.548,1208.141,7188.757,7189.35
14,3,1,0,6,msgReceivedWords," ",1208.148,1208.954,7189.356,7190.162
14,3,1,0,6,msgReceivedWords,"nice ",1208.966,1209.934,7190.173,7191.141
14,3,1,0,6,msgReceivedWords,"try.",1209.951,1210.783,7191.157,7191.988
14,3,1,0,6,msgReceivedWords," ",1210.785,1212.263,7191.99,7193.468
14,3,1,0,6,msgReceivedWords,"Better ",1212.27,1213.654,7193.474,7194.858
14,3,1,0,6,msgReceivedWords,"than ",1213.671,1214.598,7194.874,7195.801
14,3,1,0,6,msgReceivedWords,"jumping ",1214.606,1215.271,7195.807,7196.473
14,3,1,0,6,msgReceivedWords,"to ",1215.273,1216.613,7196.474,7197.813
14,3,1,0,6,msgReceivedWords,"a ",1216.625,1217.871,7197.824,7199.07
14,3,1,0,6,msgReceivedWords,"couch ",1217.875,1218.791,7199.074,7199.989
14,3,1,0,6,msgReceivedWords,"every ",1218.792,1219.699,7199.991,7200.898
14,3,1,0,6,msgReceivedWords,"day.",1219.709,1220.438,7200.907,7201.637
14,3,1,0,6,msgReceivedWords," ",1220.443,1221.076,7201.641,7202.274
14,3,1,0,6,msgReceivedWords,"At ",1221.093,1222.017,7202.291,7203.215
14,3,1,0,6,msgReceivedWords,"least ",1222.027,1223.146,7203.224,7204.344
14,3,1,0,6,msgReceivedWords,"I'm ",1223.161,1224.654,7204.357,7205.85
14,3,1,0,6,msgReceivedWords,"doing ",1224.663,1225.668,7205.858,7206.863
14,3,1,0,6,msgReceivedWords,"something ",1225.681,1226.336,7206.875,7207.53
14,3,1,0,6,msgReceivedWords,"productive ",1226.348,1226.858,7207.541,7208.051
